Cliente conectado - IP: 127.0.0.1:57124, Nome: Luuis, Horário: 2024-09-20 20:19:33
Cliente conectado - IP: 127.0.0.1:39670, Nome: Teste, Horário: 2024-09-20 20:19:49
Cliente conectado - IP: 127.0.0.1:44382, Nome: Luis, Horário: 2024-09-20 20:31:03
Cliente conectado - IP: 127.0.0.1:44398, Nome: Bob, Horário: 2024-09-20 20:31:09
Cliente conectado - IP: 127.0.0.1:36618, Nome: Luis, Horário: 2024-09-20 20:37:19
Cliente conectado - IP: 127.0.0.1:36606, Nome: Teste, Horário: 2024-09-20 20:37:22
Cliente conectado - IP: 127.0.0.1:37988, Nome: Luis, Horário: 2024-09-20 20:47:05
Cliente conectado - IP: 127.0.0.1:45326, Nome: Teste, Horário: 2024-09-20 20:47:10
Cliente conectado - IP: 127.0.0.1:57504, Nome: Luis, Horário: 2024-09-20 20:51:34
Cliente conectado - IP: 127.0.0.1:53118, Nome: Teste, Horário: 2024-09-20 20:51:42
Cliente conectado - IP: 127.0.0.1:39490, Nome: a, Horário: 2024-09-25 21:03:06
Cliente conectado - IP: 127.0.0.1:50002, Nome: b, Horário: 2024-09-25 21:03:09
Cliente conectado - IP: 127.0.0.1:41768, Nome: a, Horário: 2024-09-25 21:08:06
Cliente conectado - IP: 127.0.0.1:41972, Nome: Teste, Horário: 2024-09-25 21:08:15
Cliente conectado - IP: 127.0.0.1:56976, Nome: Teste, Horário: 2024-09-25 21:09:24
Cliente conectado - IP: 127.0.0.1:57900, Nome: A, Horário: 2024-09-25 21:18:07
Cliente conectado - IP: 127.0.0.1:57904, Nome: B, Horário: 2024-09-25 21:18:15
Cliente conectado - IP: 127.0.0.1:43212, Nome: B, Horário: 2024-09-25 21:19:07
Cliente conectado - IP: 127.0.0.1:50530, Nome: A, Horário: 2024-09-25 21:34:00
